Year,Month,Rank,Country,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW),Manufacturer,Operating System,Memory,Processor,Rmax (TFlop/s),Rpeak (TFlop/s)
2000,6,1,United States,"9,632","2,379.0","3,207.0",,Intel,ParagonOS,0GB,PentiumPro333MHz,,
2000,6,2,United States,"5,808","2,144.0","3,856.5",,IBM,AIX,0GB,PowerPC604e332MHz,,
2000,6,3,United States,"6,144","1,608.0","3,072.0",,HPE,IRIX,0GB,R10000250MHz,,
2000,6,4,United States,"1,336","1,417.0","2,004.0",,IBM,AIX,0GB,POWER3375MHz,,
2000,6,5,Germany,112,"1,035.0","1,344.0",,Hitachi,HI-UX/MPP,0GB,HitachiSR8000375MHz,,
2000,6,6,Japan,100,917.0,"1,200.0",,Hitachi,HI-UX/MPP,0GB,HitachiSR8000375MHz,,
2000,6,7,United States,"1,084",891.0,"1,300.8",,Cray/HPE,UNICOS,0GB,EV56598MHz,,
2000,6,8,United States,"1,084",891.0,"1,300.8",,Cray/HPE,UNICOS,0GB,EV56598MHz,,
2000,6,9,Japan,128,873.0,"1,024.0",,Hitachi,HI-UX/MPP,0GB,HitachiSR8000250MHz,,
2000,6,10,United States,"1,324",815.0,"1,191.6",,Cray/HPE,UNICOS,0GB,EV5450MHz,,
2000,11,1,United States,"8,192","4,938.0","12,288.0",,IBM,AIX,0GB,POWER3375MHz,,
2000,11,2,United States,"9,632","2,379.0","3,207.0",,Intel,ParagonOS,0GB,PentiumPro333MHz,,
2000,11,3,United States,"5,808","2,144.0","3,856.5",,IBM,AIX,0GB,PowerPC604e332MHz,,
2000,11,4,United States,"6,144","1,608.0","3,072.0",,HPE,IRIX,0GB,R10000250MHz,,
2000,11,5,United States,"1,336","1,417.0","2,004.0",,IBM,AIX,0GB,POWER3375MHz,,
2000,11,6,United States,"1,104","1,179.0","1,656.0",,IBM,AIX,0GB,POWER3375MHz,,
2000,11,7,Germany,112,"1,035.0","1,344.0",,Hitachi,HI-UX/MPP,0GB,HitachiSR8000375MHz,,
2000,11,8,United States,"1,152",929.0,"1,728.0",,IBM,AIX,0GB,POWER3375MHz,,
2000,11,9,Japan,100,917.0,"1,200.0",,Hitachi,HI-UX/MPP,0GB,HitachiSR8000375MHz,,
2000,11,10,United States,"1,084",892.0,"1,300.8",,Cray/HPE,UNICOS,0GB,EV56598MHz,,
2001,6,1,United States,"8,192","7,226.0","12,288.0",,IBM,AIX,0GB,POWER3375MHz,,
2001,6,2,United States,"2,528","2,526.0","3,792.0",,IBM,AIX,0GB,POWER3375MHz,,
2001,6,3,United States,"9,632","2,379.0","3,207.0",,Intel,ParagonOS,0GB,PentiumPro333MHz,,
2001,6,4,United States,"5,808","2,144.0","3,856.5",,IBM,AIX,0GB,PowerPC604e332MHz,,
2001,6,5,Japan,"1,152","1,709.1","2,074.0",,Hitachi,HI-UX/MPP,0GB,HitachiSR8000450MHz,,
2001,6,6,United States,"6,144","1,608.0","3,072.0",,HPE,IRIX,0GB,R10000250MHz,,
2001,6,7,United States,"1,336","1,417.0","2,004.0",,IBM,AIX,0GB,POWER3375MHz,,
2001,6,8,Japan,128,"1,192.0","1,280.0",,NEC,Super-UX,0GB,NEC312MHz,,
2001,6,9,United States,"1,104","1,179.0","1,656.0",,IBM,AIX,0GB,POWER3375MHz,,
2001,6,10,United States,"1,104","1,179.0","1,656.0",,IBM,AIX,0GB,POWER3375MHz,,
2001,11,1,United States,"8,192","7,226.0","12,288.0",,IBM,AIX,0GB,POWER3375MHz,,
2001,11,2,United States,"3,024","4,059.0","6,048.0",,HP,Tru64UNIX,0GB,Alpha1GHz,,
2001,11,3,United States,"3,328","3,052.0","4,992.0",,IBM,AIX,0GB,POWER3375MHz,,
2001,11,4,United States,"9,632","2,379.0","3,207.0",,Intel,ParagonOS,0GB,PentiumPro333MHz,,
2001,11,5,United States,"5,808","2,144.0","3,856.5",,IBM,AIX,0GB,PowerPC604e332MHz,,
2001,11,6,United States,"1,536","2,096.0","3,072.0",,HP,Tru64UNIX,0GB,Alpha1GHz,,
2001,11,7,Japan,"1,152","1,709.1","2,074.0",,Hitachi,HI-UX/MPP,0GB,HitachiSR8000450MHz,,
2001,11,8,United States,"6,144","1,608.0","3,072.0",,HPE,IRIX,0GB,R10000250MHz,,
2001,11,9,United States,"1,336","1,417.0","2,004.0",,IBM,AIX,0GB,POWER3375MHz,,
2001,11,10,Germany,"1,280","1,293.0","1,920.0",,IBM,AIX,0GB,POWER3375MHz,,
2002,6,1,Japan,"5,120","35,860.0","40,960.0","3,200",NEC,Super-UX,0GB,NEC1GHz,,
2002,6,2,United States,"8,192","7,226.0","12,288.0",,IBM,AIX,0GB,POWER3375MHz,,
2002,6,3,United States,"3,016","4,463.0","6,032.0",,HP,Tru64UNIX,0GB,Alpha1GHz,,
2002,6,4,France,"2,560","3,980.0","5,120.0",,HP,Tru64UNIX,0GB,Alpha1GHz,,
2002,6,5,United States,"3,328","3,052.0","4,992.0",,IBM,AIX,0GB,POWER3375MHz,,
2002,6,6,United States,"2,048","2,916.0","4,096.0",,HP,Tru64UNIX,0GB,Alpha1GHz,,
2002,6,7,United States,"9,632","2,379.0","3,207.0",,Intel,ParagonOS,0GB,PentiumPro333MHz,,
2002,6,8,United States,864,"2,310.0","4,492.8",,IBM,AIX,0GB,POWER42C1.3GHz,,
2002,6,9,United States,"5,808","2,144.0","3,856.5",,IBM,AIX,0GB,PowerPC604e332MHz,,
2002,6,10,United States,768,"2,050.0","3,993.6",,IBM,AIX,0GB,POWER42C1.3GHz,,
2002,11,1,Japan,"5,120","35,860.0","40,960.0","3,200",NEC,Super-UX,0GB,NEC1GHz,,
2002,11,2,United States,"4,096","7,727.0","10,240.0",,HP,Tru64UNIX,0GB,Alpha1.25GHz,,
2002,11,3,United States,"4,096","7,727.0","10,240.0",,HP,Tru64UNIX,0GB,Alpha1.25GHz,,
2002,11,4,United States,"8,192","7,226.0","12,288.0",,IBM,AIX,0GB,POWER3375MHz,,
2002,11,5,United States,"2,304","5,694.0","11,060.0",,LinuxNetworx/Quadrics,Linux,0GB,Pentium4Xeon2.4GHz,,
2002,11,6,United States,"3,016","4,463.0","6,032.0",,HP,Tru64UNIX,0GB,Alpha1GHz,,
2002,11,7,France,"2,560","3,980.0","5,120.0",,HP,Tru64UNIX,0GB,Alpha1GHz,,
2002,11,8,United States,"1,536","3,337.0","6,758.0",,HPTi,Linux,0GB,Pentium4Xeon2.2GHz,,
2002,11,9,United Kingdom,"1,280","3,241.0","6,656.0",,IBM,AIX,0GB,POWER42C1.3GHz,,
2002,11,10,United States,"1,216","3,164.0","6,323.0",,IBM,AIX,0GB,POWER42C1.3GHz,,
2003,6,1,Japan,"5,120","35,860.0","40,960.0","3,200",NEC,Super-UX,0GB,NEC1GHz,,
2003,6,2,United States,"8,192","13,880.0","20,480.0",,HP,Tru64UNIX,0GB,Alpha1.25GHz,,
2003,6,3,United States,"2,304","7,634.0","11,060.0",,LinuxNetworx/Quadrics,Linux,0GB,Pentium4Xeon2.4GHz,,
2003,6,4,United States,"8,192","7,304.0","12,288.0",,IBM,AIX,0GB,POWER3375MHz,,
2003,6,5,United States,"6,656","7,304.0","9,984.0",,IBM,AIX,0GB,POWER3375MHz,,
2003,6,6,United States,"1,920","6,586.0","9,216.0",,IBM/Quadrics,Linux,0GB,Pentium4Xeon2.4GHz,,
2003,6,7,Japan,"2,304","5,406.0","11,980.0",,Fujitsu,Solaris,0GB,SPARC64V1.3GHz,,
2003,6,8,United States,"1,540","4,881.0","6,160.0",,HP,Linux,0GB,Itanium21GHz,,
2003,6,9,United States,"3,016","4,463.0","6,032.0",,HP,Tru64UNIX,0GB,Alpha1GHz,,
2003,6,10,France,"2,560","3,980.0","5,120.0",,HP,Tru64UNIX,0GB,Alpha1GHz,,
2003,11,1,Japan,"5,120","35,860.0","40,960.0","3,200",NEC,Super-UX,0GB,NEC1GHz,,
2003,11,2,United States,"8,192","13,880.0","20,480.0",,HP,Tru64UNIX,0GB,Alpha1.25GHz,,
2003,11,3,United States,"2,200","10,280.0","17,600.0",,Self-made,MacOSX,0GB,PowerPC9702C2GHz,,
2003,11,4,United States,"2,500","9,819.0","15,300.0",,DELLEMC,Linux,0GB,Pentium4Xeon3.06GHz,,
2003,11,5,United States,"1,936","8,633.0","11,616.0",,HPE,Linux,0GB,Itanium21.5GHz,,
2003,11,6,United States,"2,816","8,051.0","11,264.0",,LNXI,Linux,0GB,Opteron2GHz,,
2003,11,7,United States,"2,304","7,634.0","11,060.0",,LinuxNetworx/Quadrics,Linux,0GB,Pentium4Xeon2.4GHz,,
2003,11,8,United States,"8,192","7,304.0","12,288.0",,IBM,AIX,0GB,POWER3375MHz,,
2003,11,9,United States,"6,656","7,304.0","9,984.0",,IBM,AIX,0GB,POWER3375MHz,,
2003,11,10,United States,"1,920","6,586.0","9,216.0",,IBM/Quadrics,Linux,0GB,Pentium4Xeon2.4GHz,,
2004,6,1,Japan,"5,120","35,860.0","40,960.0","3,200",NEC,Super-UX,0GB,NEC1GHz,,
2004,6,2,United States,"4,096","19,940.0","22,938.0",,CaliforniaDigitalCorporation,Linux,0GB,Itanium21.4GHz,,
2004,6,3,United States,"8,192","13,880.0","20,480.0",,HP,Tru64UNIX,0GB,Alpha1.25GHz,,
2004,6,4,United States,"8,192","11,680.0","16,384.0",,IBM/LLNL,Linux,0GB,PowerPC4402C500MHz,,
2004,6,5,United States,"2,500","9,819.0","15,300.0",,DELLEMC,Linux,0GB,Pentium4Xeon3.06GHz,,
2004,6,6,United Kingdom,"2,112","8,955.0","16,051.0",,IBM,AIX,0GB,POWER4+2C1.9GHz,,
2004,6,7,Japan,"2,048","8,728.0","12,534.0",,Fujitsu,Linux,0GB,Pentium4Xeon3.06GHz,,
2004,6,8,United States,"4,096","8,655.0","11,469.0",,IBM/LLNL,Linux,0GB,PowerPC4402C700MHz,,
2004,6,9,United States,"1,936","8,633.0","11,616.0",,HPE,Linux,0GB,Itanium21.5GHz,,
2004,6,10,China,"2,560","8,061.0","11,264.0",,Dawning,Linux,0GB,Opteron2.2GHz,,
2004,11,1,United States,"32,768","70,720.0","91,750.0",,IBM,Linux,0GB,PowerPC4402C700MHz,,
2004,11,2,United States,"10,160","51,870.0","60,960.0",,HPE,Linux,0GB,Itanium2Montecito2C1.6GHz,,
2004,11,3,Japan,"5,120","35,860.0","40,960.0","3,200",NEC,Super-UX,0GB,NEC1GHz,,
2004,11,4,Spain,"3,564","20,530.0","31,363.0",,IBM,Linux,0GB,PowerPC9702C2.2GHz,,
2004,11,5,United States,"4,096","19,940.0","22,938.0",,CaliforniaDigitalCorporation,Linux,0GB,Itanium21.4GHz,,
2004,11,6,United States,"8,192","13,880.0","20,480.0",,HP,Tru64UNIX,0GB,Alpha1.25GHz,,
2004,11,7,United States,"2,200","12,250.0","20,240.0",,Self-made,MacOSX,0GB,PowerPC9702C2.3GHz,,
2004,11,8,United States,"8,192","11,680.0","16,384.0",,IBM/LLNL,Linux,0GB,PowerPC4402C500MHz,,
2004,11,9,United States,"2,944","10,310.0","20,019.2",,IBM,AIX,0GB,POWER4+2C1.7GHz,,
2004,11,10,United States,"2,500","9,819.0","15,300.0",,DELLEMC,Linux,0GB,Pentium4Xeon3.06GHz,,
2005,6,1,United States,"65,536",,,716,IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,136.8,183.5
2005,6,2,United States,"40,960",,,448,IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,91.3,114.7
2005,6,3,United States,"10,160",,,,HPE,Linux,0GB,Itanium2Montecito2C1.6GHz,51.9,61.0
2005,6,4,Japan,"5,120",,,"3,200",NEC,Super-UX,0GB,NEC1GHz,35.9,41.0
2005,6,5,Spain,"4,800",,,,IBM,Linux,0GB,PowerPC9702C2.2GHz,27.9,42.1
2005,6,6,Netherlands,"12,288",,,134,IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,27.4,34.4
2005,6,7,United States,"4,096",,,,CaliforniaDigitalCorporation,Linux,0GB,Itanium21.4GHz,19.9,22.9
2005,6,8,Japan,"8,192",,,89,IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,18.2,22.9
2005,6,9,Switzerland,"8,192",,,89,IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,18.2,22.9
2005,6,10,United States,"5,000",,,,Cray/HPE,UNICOS/Linux,0GB,Opteron2GHz,15.2,20.0
2005,11,1,United States,"131,072",,,"1,433",IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,280.6,367.0
2005,11,2,United States,"40,960",,,448,IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,91.3,114.7
2005,11,3,United States,"10,240",,,"1,671",IBM,AIX,0GB,POWER52C1.9GHz,63.4,77.8
2005,11,4,United States,"10,160",,,,HPE,Linux,0GB,Itanium2Montecito2C1.6GHz,51.9,61.0
2005,11,5,United States,"8,000",,,,DELLEMC,Linux,0GB,XeonEM64T3.6GHz,38.3,57.6
2005,11,6,United States,"10,880",,,,Cray/HPE,UNICOS/Linux,0GB,Opteron2GHz,36.2,43.5
2005,11,7,Japan,"5,120",,,"3,200",NEC,Super-UX,0GB,NEC1GHz,35.9,41.0
2005,11,8,Spain,"4,800",,,,IBM,Linux,0GB,PowerPC9702C2.2GHz,27.9,42.1
2005,11,9,Netherlands,"12,288",,,134,IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,27.4,34.4
2005,11,10,United States,"5,200",,,,Cray/HPE,UNICOS,0GB,Opteron2.4GHz,20.5,25.0
2006,6,1,United States,"131,072",,,"1,433",IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,280.6,367.0
2006,6,2,United States,"40,960",,,448,IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,91.3,114.7
2006,6,3,United States,"12,208",,,"1,992",IBM,AIX,0GB,POWER52C1.9GHz,75.8,92.8
2006,6,4,United States,"10,160",,,,HPE,Linux,0GB,Itanium2Montecito2C1.6GHz,51.9,61.0
2006,6,5,France,"8,704",,,,Atos,Linux,0GB,Itanium2Montecito2C1.6GHz,42.9,55.7
2006,6,6,United States,"9,024",,,,DELLEMC,Linux,0GB,XeonEM64T3.6GHz,38.3,65.0
2006,6,7,Japan,"10,368",,,,NEC/Sun,Linux,0GB,OpteronDualCore2C2.4GHz,38.2,49.9
2006,6,8,Germany,"16,384",,,179,IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,37.3,45.9
2006,6,9,United States,"10,880",,,,Cray/HPE,UNICOS/Linux,0GB,Opteron2GHz,36.2,43.5
2006,6,10,Japan,"5,120",,,"3,200",NEC,Super-UX,0GB,NEC1GHz,35.9,41.0
2006,11,1,United States,"131,072",,,"1,433",IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,280.6,367.0
2006,11,2,United States,"26,544",,,,Cray/HPE,UNICOS,0GB,OpteronDualCore2C2.4GHz,101.4,127.4
2006,11,3,United States,"40,960",,,448,IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,91.3,114.7
2006,11,4,United States,"12,208",,,"1,992",IBM,AIX,0GB,POWER52C1.9GHz,75.8,92.8
2006,11,5,Spain,"10,240",,,,IBM,Linux,0GB,PowerPC9702C2.3GHz,62.6,94.2
2006,11,6,United States,"9,024",,,,DELLEMC,Linux,0GB,XeonEM64T3.6GHz,53.0,65.0
2006,11,7,France,"9,968",,,,Atos,Linux,0GB,Itanium2Montecito2C1.6GHz,52.8,63.8
2006,11,8,United States,"10,160",,,,HPE,Linux,0GB,Itanium2Montecito2C1.6GHz,51.9,61.0
2006,11,9,Japan,"11,088",,,,NEC/Sun,Linux,0GB,OpteronDualCore2C2.4GHz,47.4,82.1
2006,11,10,United States,"10,424",,,,Cray/HPE,UNICOS/Linux,0GB,OpteronDualCore2C2.6GHz,43.5,54.2
2007,6,1,United States,"131,072",,,"1,433",IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,280.6,367.0
2007,6,2,United States,"23,016",,,,Cray/HPE,UNICOS/SUSELinux,0GB,OpteronDualCore2C2.6GHz,101.7,119.3
2007,6,3,United States,"26,544",,,,Cray/HPE,UNICOS,0GB,OpteronDualCore2C2.4GHz,101.4,127.4
2007,6,4,United States,"40,960",,,448,IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,91.3,114.7
2007,6,5,United States,"36,864",,,403,IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,82.2,103.2
2007,6,6,United States,"12,208",,,"1,992",IBM,AIX,0GB,POWER52C1.9GHz,75.8,92.8
2007,6,7,United States,"32,768",,,358,IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,73.0,91.8
2007,6,8,United States,"9,600",,,,DELLEMC,Linux,0GB,XeonE53454C2.33GHz,62.7,89.6
2007,6,9,Spain,"10,240",,,,IBM,Linux,0GB,PowerPC9702C2.3GHz,62.6,94.2
2007,6,10,Germany,"9,728",,,990,HPE,SUSELinuxEnterpriseServer10,0GB,Itanium2Montecito2C1.6GHz,56.5,62.3
2007,11,1,United States,"212,992",,,"2,329",IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,478.2,596.4
2007,11,2,Germany,"65,536",,,504,IBM,CNK/SLES9,0GB,PowerPC4504C850MHz,167.3,222.8
2007,11,3,United States,"14,336",,,,HPE,SLES10+SGIProPack5,0GB,XeonX53654C3GHz,126.9,172.0
2007,11,4,India,"14,240",,,,HPE,Linux,0GB,XeonX53654C3GHz,117.9,170.9
2007,11,5,Sweden,"13,728",,,,HPE,Linux,0GB,XeonX53554C2.67GHz,102.8,146.4
2007,11,6,United States,"26,569",,,,Cray/HPE,UNICOS,0GB,OpteronDualCore2C2.4GHz,102.2,127.5
2007,11,7,United States,"23,016",,,,Cray/HPE,UNICOS/SUSELinux,0GB,OpteronDualCore2C2.6GHz,101.7,119.3
2007,11,8,United States,"40,960",,,448,IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,91.3,114.7
2007,11,9,United States,"19,320",,,"1,150",Cray/HPE,UNICOS/Linux,0GB,OpteronDualCore2C2.6GHz,85.4,100.5
2007,11,10,United States,"36,864",,,403,IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,82.2,103.2
2008,6,1,United States,"122,400",,,"2,345",IBM,Linux,0GB,PowerXCell8i9C3.2GHz,"1,026.0","1,375.8"
2008,6,2,United States,"212,992",,,"2,329",IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,478.2,596.4
2008,6,3,United States,"66,000",,,,Cray/HPE,CNL,0GB,OpteronQuadCore4C2.3GHz,463.3,607.2
2008,6,4,United States,"163,840",,,"1,260",IBM,CNK/SLES9,0GB,PowerPC4504C850MHz,450.3,557.1
2008,6,5,United States,"62,976",,,"2,000",Sun,Linux,0GB,OpteronQuadCore4C2GHz,326.0,503.8
2008,6,6,United States,"30,976",,,"1,580",Cray/HPE,CNL,0GB,OpteronQuadCore4C2.1GHz,205.0,260.2
2008,6,7,Germany,"65,536",,,504,IBM,CNK/SLES9,0GB,PowerPC4504C850MHz,180.0,222.8
2008,6,8,United States,"14,336",,,861,HPE,SLES10+SGIProPack5,0GB,XeonX53654C3GHz,133.2,172.0
2008,6,9,India,"14,384",,,786,HPE,Linux,0GB,XeonX53654C3GHz,132.8,172.6
2008,6,10,France,"40,960",,,315,IBM,CNK/SLES9,0GB,PowerPC4504C850MHz,112.5,139.3
2008,11,1,United States,"129,600",,,"2,483",IBM,Linux,0GB,PowerXCell8i9C3.2GHz,"1,105.0","1,456.7"
2008,11,2,United States,"150,152",,,"6,950",Cray/HPE,CNL,0GB,OpteronQuadCore4C2.3GHz,"1,059.0","1,381.4"
